name,born,city,zip_code,income,is_married,children,car
Charlie,1988,San Francisco,49440,54738.72288151495,false,0,Mini
Alice,1961,Munich,40730,37964.26165985453,false,2,Ford
Bob,1971,London,25221,51519.128344923745,false,0,Mini
Charlie,1980,Mumbai,86722,46478.7011779708,false,4,Toyota
Eva,1951,Mumbai,78124,56164.58299674754,false,1,Toyota
Alice,1969,Shanghai,81696,40201.43891405906,true,3,Ford
Bob,1983,Shanghai,73233,38421.10044074954,true,1,Mini
Charlie,1953,Mumbai,49402,62872.25559321878,true,0,Ford
Bob,1967,Shanghai,38943,52003.12007243088,false,0,BMW
Eva,1968,Munich,72415,51169.17693300532,true,1,Mini
Charlie,1972,Shanghai,59450,26712.069332385254,true,4,Ford
Alice,1952,Munich,83745,48677.278146086006,true,0,Mini
Alice,1976,Munich,36345,44793.05133396474,false,3,BMW
Bob,1959,San Francisco,30176,52627.12115091228,true,4,BMW
Alice,1983,Shanghai,63137,46070.16888870457,false,1,Mini
Bob,1963,Mumbai,36565,52505.87298791129,true,1,Bentley
David,1957,London,26292,56927.4518323647,false,0,Bentley
Bob,1976,Munich,23911,36601.21883833698,false,2,Ford
Bob,1972,San Francisco,32635,27778.22301148577,false,1,Toyota
Eva,1982,London,58520,52475.87391365096,false,2,Toyota
Eva,1953,London,11273,59944.30815494841,false,0,Bentley
David,1955,Shanghai,26572,33043.81750697063,true,4,Bentley
Alice,1970,Munich,20389,18684.187658544557,true,3,BMW
David,1959,London,56350,56035.507948489234,false,4,Toyota
Alice,1958,Mumbai,77200,62036.813894580104,false,1,Toyota
David,1967,San Francisco,91978,53427.14444024968,false,3,Mini
Bob,1958,Shanghai,85111,48995.65126555535,true,1,Mini
Charlie,1971,San Francisco,74240,31870.678043889253,true,0,Mini
Eva,1980,Mumbai,67942,40977.41357778946,true,0,Bentley
Alice,1975,San Francisco,62313,39433.276532955904,true,1,Mini
Alice,1978,Mumbai,52691,59768.85501761611,false,1,BMW
David,1957,London,47713,51575.05363338062,true,1,Ford
Bob,1951,San Francisco,49851,53189.87503266774,false,1,BMW
Bob,1964,London,69425,66660.65657453676,false,4,BMW
Alice,1989,Munich,86606,50661.84385987499,true,2,Toyota
Alice,1987,Mumbai,14271,51920.64934253344,false,1,Ford
Eva,1952,Shanghai,15758,39255.62656984941,false,2,Ford
Charlie,1950,San Francisco,53312,39988.485918200626,false,1,Bentley
David,1970,Mumbai,12991,47518.52870358775,false,4,Ford
Eva,1967,Mumbai,18908,60909.697657742094,true,2,BMW
Charlie,1957,Munich,69408,55767.15279510369,false,2,BMW
Alice,1986,London,48831,43459.10329461843,false,3,Toyota
David,1968,London,67430,51643.8492153273,false,4,Toyota
David,1968,Munich,60608,49592.12391434085,true,1,Toyota
Bob,1987,Mumbai,92142,50599.0320978302,true,2,Toyota
Charlie,1977,London,65658,51781.6273991487,true,4,BMW
Eva,1961,Shanghai,90238,66475.94369583011,true,1,Ford
David,1978,London,82193,42219.19716133716,false,0,Bentley
Alice,1968,London,26880,34545.876652536106,false,2,Ford
Alice,1980,Shanghai,86522,52151.32990371873,false,1,Ford
Eva,1984,Shanghai,75184,47773.61048554431,true,3,Ford
Charlie,1989,London,66482,45685.37085845047,false,3,Bentley
Eva,1960,Munich,66995,47439.12955518621,false,3,Ford
Charlie,1950,Munich,14252,56456.20659326015,false,3,Ford
Alice,1973,Munich,58037,35065.47013190122,true,2,BMW
David,1969,London,91437,27322.567199838642,false,2,Toyota
Alice,1956,San Francisco,29341,52836.29110499492,false,1,BMW
Alice,1985,San Francisco,40336,39208.6160914185,false,1,Toyota
Eva,1966,Mumbai,89019,43882.91730499473,false,3,BMW
Charlie,1974,Mumbai,80143,39925.81290985641,false,4,Mini
Bob,1966,San Francisco,22330,61796.13821539986,false,0,BMW
Alice,1963,Mumbai,30155,58068.67102211673,true,4,BMW
Eva,1964,Mumbai,14521,46294.23532384192,false,1,Bentley
David,1978,Shanghai,75296,38539.47812673428,true,1,Bentley
Alice,1972,Mumbai,43062,53769.79182561942,true,1,Toyota
Bob,1971,Shanghai,57544,49356.01222741904,true,1,Ford
Charlie,1967,San Francisco,15636,54083.57771593799,false,0,Toyota
Eva,1967,Munich,99926,41139.77143140657,true,1,Toyota
Eva,1980,Shanghai,64267,37935.458922445934,true,0,Ford
David,1978,San Francisco,42583,65588.27570537338,true,1,Ford
David,1955,Munich,87174,40757.657050968075,false,2,BMW
David,1968,San Francisco,94271,44016.11109912128,true,3,Toyota
David,1975,Mumbai,17884,43294.8834923107,true,4,Ford
Charlie,1986,London,97890,58313.48266595113,false,3,Toyota
David,1970,Munich,64340,66574.2988263193,true,0,Ford
David,1985,Munich,40213,23558.0997333923,true,1,Mini
Eva,1966,Munich,96261,52091.75311363737,true,2,BMW
David,1958,San Francisco,60960,59145.90282440919,true,2,Ford
Charlie,1960,London,71681,68381.35481812654,false,4,Ford
Eva,1985,London,82713,57245.335245930044,false,1,Ford
Eva,1966,Shanghai,94339,54835.8722254595,false,0,Toyota
Alice,1984,London,60159,46180.3793438488,false,3,Ford
David,1959,Shanghai,30313,51736.424426884,true,1,Bentley
David,1971,Mumbai,80960,52587.95779116798,false,1,BMW
Alice,1960,Munich,21779,45897.12925791173,false,2,Ford
David,1957,Munich,39233,61311.24495462005,true,1,BMW
Bob,1970,London,44170,44035.39234828233,false,1,BMW
Alice,1964,London,32950,47001.50707668728,false,3,Bentley
Charlie,1955,London,66325,38964.49947804139,false,1,Ford
Charlie,1987,London,16451,50278.82334694654,false,4,Bentley
Charlie,1988,Shanghai,63376,52523.593637404694,false,1,Ford
Alice,1962,Shanghai,93075,32511.354795457406,true,2,Ford
Charlie,1989,London,24731,51023.538981257094,true,4,BMW
Bob,1977,London,63387,45083.854067009095,true,3,Toyota
Eva,1983,Shanghai,44321,30701.982803299547,false,2,Ford
Alice,1981,Shanghai,37849,59681.1171899946,true,1,Ford
Eva,1969,San Francisco,42038,47884.587318245816,true,3,Bentley
Eva,1982,Munich,60602,58888.25786588001,true,2,Toyota
Bob,1954,Munich,36025,59969.56995695244,false,4,BMW
David,1968,Shanghai,74528,54825.82031553965,true,3,Toyota
Bob,1969,Shanghai,93198,55372.96205585559,true,3,BMW
Eva,1979,Munich,47586,40582.42198607547,true,2,Ford
Bob,1989,San Francisco,39044,56123.97023408642,false,3,Bentley
Charlie,1976,Shanghai,62953,44856.832945258124,false,0,Bentley
Bob,1988,Shanghai,57766,44355.968060214276,true,3,Bentley
Alice,1957,San Francisco,41693,52040.95855518439,false,1,Bentley
Alice,1955,Munich,44026,56280.11159788947,true,0,Mini
Charlie,1962,Mumbai,31558,42939.936562260846,false,1,Toyota
Eva,1977,Munich,21437,46425.55352651946,false,1,Bentley
Bob,1968,Mumbai,27348,48300.914802873885,false,3,Mini
Alice,1984,San Francisco,32575,62496.08299369847,false,3,Ford
Alice,1978,Shanghai,41911,31646.176937431843,true,4,BMW
David,1968,London,45281,44893.10781435549,true,2,BMW
Bob,1980,Shanghai,41999,49683.701353877455,true,3,BMW
Alice,1980,Mumbai,16667,47362.63115834435,true,0,BMW
Eva,1986,Mumbai,98965,43227.08552972617,false,2,BMW
David,1969,London,48192,42729.631066814145,true,0,BMW
Charlie,1985,London,58275,56802.87721366538,false,0,Ford
David,1956,Shanghai,17006,57254.33769393054,true,3,BMW
Eva,1985,Shanghai,41813,47501.86650357885,false,1,Toyota
Eva,1972,Munich,69767,60128.90095135154,false,0,Toyota
David,1980,Mumbai,92839,47377.37479627335,true,2,Bentley
Alice,1960,London,80542,63316.10336834366,true,0,Bentley
Alice,1980,Mumbai,27570,34685.06972079573,false,4,Toyota
Alice,1987,Mumbai,53433,51690.67364164916,true,2,Ford
Eva,1986,Mumbai,88692,54136.93454268659,true,0,BMW
Bob,1969,Mumbai,10922,48164.214523821895,false,1,Ford
Eva,1978,San Francisco,46550,51974.9073242827,true,2,Bentley
Bob,1961,Mumbai,95132,75914.03636763705,true,3,Ford
Charlie,1981,San Francisco,60119,45042.97801609076,true,0,BMW
Charlie,1979,Shanghai,42262,35285.128422506365,true,0,Mini
Eva,1961,London,62130,46839.87307074983,false,4,Toyota
David,1980,Mumbai,28524,66409.14679544036,false,0,Toyota
Eva,1975,Munich,66439,65475.29106176842,false,3,BMW
Eva,1966,Munich,27971,42768.56352031372,false,1,Mini
Alice,1963,Munich,60553,54528.15488222728,false,3,Ford
David,1953,Mumbai,89396,39221.07756908424,true,3,Ford
Charlie,1977,San Francisco,55385,49389.55394692167,true,3,Toyota
Eva,1956,London,80161,64263.01674060362,false,1,Bentley
David,1959,Shanghai,97519,44977.58597796441,true,4,Ford
Eva,1952,San Francisco,79703,42409.39733212144,true,2,Mini
Charlie,1953,Munich,41011,43150.03052638302,false,4,Toyota
David,1968,Munich,18831,64588.256183249905,true,3,Mini
Alice,1960,Mumbai,75554,45827.30805950825,true,3,Mini
Charlie,1985,San Francisco,69799,51582.723695850735,false,3,Toyota
Bob,1957,London,69889,66927.87772198026,true,3,BMW
David,1958,Shanghai,15710,47559.335209613986,false,3,BMW
Charlie,1963,Shanghai,17217,54295.67641026793,true,1,Bentley
Alice,1984,Mumbai,55917,59323.0109003022,true,4,Toyota
Bob,1957,San Francisco,70979,49117.60404711472,true,0,Bentley
Eva,1958,Mumbai,81379,54428.6666653208,false,4,Ford
Bob,1979,Shanghai,15689,53736.857094365005,false,3,BMW
David,1967,Shanghai,42561,49853.073800828424,true,1,Ford
David,1984,London,59503,46765.37406957614,true,4,Bentley
Bob,1964,London,68493,34139.41791803424,true,4,Ford
Charlie,1951,London,27091,40071.87044381741,true,2,Toyota
Alice,1959,San Francisco,47510,54133.63238905727,true,3,Ford
Charlie,1985,Munich,70771,47904.78703607679,true,4,Bentley
Eva,1951,Munich,40270,55408.287792687384,true,4,Toyota
Alice,1952,London,14122,63707.52825583455,false,4,Toyota
Charlie,1969,San Francisco,47602,43933.74807342259,false,0,Ford
Eva,1975,San Francisco,10233,51354.34003224372,false,2,Bentley
David,1961,Shanghai,45264,48375.68250853316,true,0,Bentley
Eva,1958,San Francisco,65589,40044.34628798438,false,1,Ford
David,1979,San Francisco,30288,68015.02740489134,false,4,Bentley
Alice,1978,San Francisco,96155,44930.92974502241,true,2,Toyota
Eva,1968,Shanghai,37492,61933.255456146915,true,0,Toyota
Charlie,1975,San Francisco,66689,42888.8479526458,true,2,Toyota
Charlie,1977,London,20547,60281.36885993815,true,3,Mini
Eva,1988,Munich,82744,49221.834516113646,true,1,BMW
Bob,1988,Mumbai,62375,47870.955473173926,true,0,Toyota
Charlie,1963,San Francisco,96829,39052.77740362202,true,0,Bentley
Bob,1987,London,27995,37700.842600656186,true,4,Toyota
Bob,1963,Shanghai,79767,47498.548340218214,true,1,Mini
Bob,1987,Munich,52027,47302.59724367758,true,3,Mini
Alice,1955,Shanghai,37649,75843.75820827227,false,3,Ford
Eva,1972,Shanghai,99746,70306.82429279108,false,2,BMW
Eva,1975,London,25467,40573.00711109665,false,3,Mini
Charlie,1979,San Francisco,31171,37434.84764764078,true,3,BMW
Charlie,1955,San Francisco,19828,51442.62045667386,false,1,Toyota
David,1968,Mumbai,60842,36511.5506924524,true,1,Toyota
Bob,1969,Munich,28805,41784.49924489353,false,1,Bentley
Eva,1984,Munich,41459,42335.13063892768,true,1,Mini
Alice,1986,Munich,99777,68485.32926911383,true,2,Ford
Alice,1975,London,70792,48501.743601530055,true,4,Toyota
David,1981,Shanghai,85129,46213.36738326787,false,1,BMW
Charlie,1966,Munich,16731,53845.8522378326,true,1,Ford
Eva,1973,Mumbai,89379,45049.75351166086,true,3,Ford
Bob,1968,Munich,61150,51218.824224762684,false,1,Toyota
David,1988,London,70722,54518.23825543523,false,2,Ford
Bob,1986,San Francisco,24120,58954.20882181097,false,3,Toyota
Bob,1961,Munich,53733,46299.30843230644,false,3,Toyota
Charlie,1962,Munich,98831,35050.84350703409,false,3,Mini
Eva,1955,London,92803,61250.359420516455,false,0,Bentley
Alice,1976,Mumbai,28558,42620.95453434973,true,4,Toyota
David,1969,Munich,21141,33754.99558255756,true,2,Mini
Alice,1985,Mumbai,47246,42645.39974322356,true,1,Ford
Eva,1963,Shanghai,14360,39941.938940893204,true,3,BMW
Charlie,1970,San Francisco,49321,50857.119810017415,true,2,Toyota
David,1956,London,58939,43917.14706353686,true,0,Ford
Bob,1951,Mumbai,96322,49396.47520353948,true,0,Toyota
Bob,1950,Munich,70914,49280.52985128701,false,3,BMW
Eva,1978,Munich,12993,61077.5916870994,false,4,BMW
Eva,1984,Shanghai,85268,59250.453994765885,false,1,Toyota
Alice,1980,Munich,63033,43913.75931211512,false,0,Toyota
Charlie,1968,Shanghai,36593,40911.11800680841,false,0,Ford
Bob,1964,San Francisco,20852,59190.10764455261,false,3,Bentley
David,1962,Mumbai,32584,66937.98311072061,false,4,BMW
Alice,1984,Shanghai,53141,51888.76249072308,false,1,BMW
Bob,1967,London,99801,75870.73319306676,true,4,BMW
Alice,1953,London,31695,53362.32425813452,false,3,Toyota
Charlie,1965,Shanghai,59638,42605.46020866187,true,4,Ford
Charlie,1975,San Francisco,75911,51399.24898811016,false,4,Ford
Eva,1974,San Francisco,10130,55154.02121461025,true,1,Ford
David,1969,London,54665,50255.32950151575,true,1,Mini
Charlie,1981,San Francisco,54856,63393.311096565514,true,4,BMW
Charlie,1961,Shanghai,68343,52689.908051345985,true,4,Bentley
Charlie,1959,San Francisco,91655,41498.850828406794,false,4,Bentley
Alice,1971,San Francisco,43251,53713.71141184641,true,4,BMW
Charlie,1953,Munich,21051,35821.22032303196,true,4,Bentley
Alice,1987,San Francisco,33911,55490.85553309042,false,1,Toyota
Eva,1969,Shanghai,22676,62431.6776358195,true,2,Bentley
Bob,1977,London,77916,59335.82263266928,true,1,Bentley
Alice,1975,San Francisco,43498,65399.29385643633,false,3,Mini
Charlie,1966,San Francisco,14311,42347.1361175374,false,1,Bentley
David,1953,Munich,96697,58090.87896209516,true,0,BMW
Alice,1989,San Francisco,50017,43627.24893773749,true,3,Toyota
Eva,1950,London,87015,40707.780006471614,true,2,Mini
David,1973,London,85340,52646.72724183019,true,4,Ford
David,1964,Munich,76156,59489.35558756839,false,3,Ford
David,1957,London,34442,58527.19011088177,true,3,BMW
Alice,1969,Munich,18833,57163.30270720143,true,2,Toyota
David,1959,Munich,60985,65212.99252756918,false,4,Bentley
Bob,1975,London,15259,59397.26444270388,false,3,BMW
Charlie,1979,Mumbai,43282,47566.193584249086,true,2,Mini
Alice,1965,San Francisco,23382,55643.136268396345,false,3,BMW
Bob,1959,Shanghai,91739,61696.068020107916,false,3,Mini
Eva,1980,London,45043,49064.266896285706,true,1,BMW
Charlie,1964,San Francisco,12832,46995.48208138803,true,4,Bentley
David,1963,London,30466,56843.874509934736,false,1,BMW
Eva,1957,San Francisco,85024,46192.6766341339,false,2,Mini
Eva,1966,London,91769,61307.11031835949,false,1,Ford
Charlie,1957,Shanghai,89531,47890.227218773376,true,3,BMW
Bob,1966,Mumbai,62476,51326.78545295675,false,1,Mini
Charlie,1987,Munich,46752,49606.74804608493,false,3,BMW
Alice,1969,San Francisco,27736,61092.068606322595,false,3,Toyota
David,1969,Shanghai,38138,52640.60818003359,false,1,Mini
David,1981,San Francisco,39708,44267.650994178875,false,4,Ford
Charlie,1968,Mumbai,40357,40577.306480486885,true,1,BMW
Alice,1953,Mumbai,71487,63479.2308475948,true,0,Bentley
Alice,1981,San Francisco,97660,49556.5008454744,false,3,Mini
Alice,1983,Mumbai,49361,52955.674071612244,true,4,Mini
Alice,1965,Munich,29559,48055.28460762945,true,2,BMW
Charlie,1971,San Francisco,67305,46206.08265038107,false,1,Mini
Eva,1955,San Francisco,74774,41939.75159980326,false,3,Ford
Alice,1984,Munich,60548,65762.16114613274,false,3,BMW
Eva,1979,Munich,45087,40627.33540473199,false,2,Toyota
Bob,1978,Munich,21304,52496.93247178975,true,4,Ford
Charlie,1966,Shanghai,75542,51521.42450102211,false,3,Toyota
Bob,1954,San Francisco,29588,48243.68806601236,false,4,Ford
Charlie,1977,London,94271,40083.198414029815,true,3,BMW
Eva,1952,London,32774,45699.16985175186,true,1,Bentley
Bob,1975,Mumbai,42828,31044.622232428104,true,0,Ford
David,1978,London,87085,47543.77581902671,true,0,Ford
Bob,1967,Shanghai,38849,32184.40961931097,false,3,Toyota
Bob,1980,San Francisco,55046,38724.49970930313,true,4,Toyota
Charlie,1955,San Francisco,10580,46462.009166296935,true,1,Toyota
Eva,1970,Mumbai,11880,46116.45071743354,true,2,Bentley
Bob,1984,Munich,30420,54384.73083178779,false,1,Bentley
Alice,1963,San Francisco,20893,47245.2222587108,true,1,Toyota
Charlie,1969,Shanghai,71891,59382.43752032306,true,2,BMW
Bob,1984,London,24620,50709.1681627002,false,3,BMW
Charlie,1974,Shanghai,75304,44438.272455686514,true,3,Bentley
Alice,1967,London,72421,60686.0671716377,false,3,Bentley
Alice,1954,San Francisco,45282,56250.26407725017,true,1,Ford
David,1957,Mumbai,30838,49744.5449914912,false,2,Bentley
Eva,1983,San Francisco,68300,68863.76131536363,true,0,Ford
Bob,1957,Shanghai,81998,61056.13632895117,true,2,Bentley
Alice,1956,Mumbai,68568,46358.60830723535,false,3,BMW
Eva,1975,London,17926,40776.31483537574,false,2,Ford
Alice,1989,Munich,76950,51902.809256779234,false,0,Mini
David,1975,London,29232,53687.38764857157,true,0,Bentley
Charlie,1987,Munich,44260,45969.78893508328,true,4,Toyota
Eva,1979,London,85953,52597.855039753274,false,2,BMW
David,1976,Munich,12879,61448.36390028332,true,4,Ford
Charlie,1965,London,57119,66940.44944497227,false,4,Bentley
Eva,1968,Shanghai,35097,61997.81572788381,false,2,Ford
Charlie,1962,Mumbai,24006,45726.88261118589,false,1,BMW
Eva,1979,Mumbai,82117,70860.0482683394,true,4,Toyota
Alice,1959,London,65120,45274.78025255032,true,1,Mini
Alice,1954,Mumbai,12423,49812.98165502125,true,3,BMW
Eva,1988,Shanghai,25027,56159.165323883455,false,4,Ford
Charlie,1988,San Francisco,33413,37954.651250413044,false,4,Toyota
Charlie,1955,Shanghai,53812,30185.271571127603,false,3,Bentley
Eva,1982,Munich,75756,52983.24062651994,false,1,Ford
Charlie,1965,San Francisco,15224,63181.30962324107,false,3,Mini
David,1986,Mumbai,62421,64731.38965724362,true,2,Mini
Alice,1952,Shanghai,35942,41038.86468712258,true,2,BMW
Alice,1958,Mumbai,45329,55331.23644090716,true,1,Mini
Eva,1971,San Francisco,16604,64877.198928861224,true,1,Mini
David,1972,Munich,28897,37850.34732910787,true,0,Mini
Eva,1955,London,80945,47504.99762590421,false,3,BMW
David,1982,Shanghai,81304,39470.20745395597,true,2,Toyota
David,1987,London,94053,56372.05305316866,true,1,Toyota
Eva,1959,London,71923,39258.32188741299,false,0,Mini
Alice,1967,London,56983,46615.12244555824,false,2,Bentley
David,1950,Mumbai,44772,56650.67359363786,false,3,Mini
Bob,1950,San Francisco,38386,55589.00580535861,true,2,Mini
Eva,1972,London,31615,30507.53404520557,false,3,Bentley
Eva,1975,San Francisco,44611,49659.321940988746,false,2,Toyota
David,1982,London,52584,46718.56468872069,true,2,Ford
Charlie,1966,Munich,85420,59081.879275147665,false,3,Bentley
Charlie,1950,London,20361,58635.10903018202,true,0,Ford
Charlie,1951,Mumbai,58800,40938.93906865625,true,2,Toyota
Charlie,1965,Mumbai,95908,63382.81183516629,true,4,Ford
Charlie,1950,San Francisco,63411,50933.36755745045,true,2,Mini
Alice,1981,San Francisco,76860,39665.09407767908,false,3,Bentley
Charlie,1953,London,22839,63107.10874475538,false,4,BMW
Bob,1970,Shanghai,41278,57191.42193407173,true,0,Mini
Charlie,1970,Munich,68014,42279.51743614881,true,3,Toyota
David,1967,Munich,32057,69041.34590663693,false,1,Toyota
Alice,1976,London,77647,57998.33943834613,true,2,Toyota
Alice,1974,Munich,39327,35705.776589395406,false,0,Bentley
Bob,1960,Mumbai,15745,38656.870723359534,true,1,Ford
Bob,1984,San Francisco,75572,50752.09514544553,false,2,Bentley
David,1954,Shanghai,52991,38865.372598111564,true,4,Ford
David,1967,Munich,30136,53790.49656183894,false,4,Ford
David,1988,Shanghai,80993,59905.81146456592,true,2,Ford
